State,Year,Indicator,Value
AK,2015,Number of Drug Overdose Deaths,127
AK,2015,"Opioids (T40.0-T40.4,T40.6)",79
AK,2015,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54
AK,2015,"Synthetic opioids, excl. methadone and rehabilitory compounds",17
AK,2015,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64
AK,2015,Methadone (T40.3),10
AK,2015,Psychostimulants with abuse potential (T43.6),26
AK,2015,Heroin ,39
AK,2015,Other natural & semi-synthetic opioids,49
AK,2015,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",66
AK,2015,Psychostimulants with abuse potential (T43.6),27
AK,2015,"Opioids (T40.0-T40.4,T40.6)",86
AK,2015,Methadone (T40.3),10
AK,2015,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55
AK,2016,Heroin ,49
AK,2015,Number of Deaths,"4,242"
AK,2016,"Synthetic opioids, excl. methadone and rehabilitory compounds",13
AK,2016,Cocaine,15
AK,2016,Other natural & semi-synthetic opioids,63
AK,2016,Psychostimulants with abuse potential (T43.6),35
AK,2016,Methadone (T40.3),18
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68
AK,2017,Heroin ,50
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75
AK,2016,Number of Deaths,"4,355"
AK,2016,"Opioids (T40.0-T40.4,T40.6)",95
AK,2016,Psychostimulants with abuse potential (T43.6),41
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72
AK,2016,Methadone (T40.3),19
AK,2016,"Opioids (T40.0-T40.4,T40.6)",100
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64
AK,2016,Psychostimulants with abuse potential (T43.6),53
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53
