State,Year,Month,Indicator,Data Value
AK,2015,April,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,April,"Opioids (T40.0-T40.4,T40.6)",
AK,2015,April,Psychostimulants with abuse potential (T43.6),
AK,2015,April,Number of Deaths,"4,133"
AK,2015,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,April,Number of Drug Overdose Deaths,126
AK,2015,April,Natural & semi-synthetic opioids (T40.2),
AK,2015,April,Methadone (T40.3),
AK,2015,April,Percent with drugs specified,88.0952381
AK,2015,April,Heroin (T40.1),
AK,2015,April,Cocaine (T40.5),
AK,2015,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
AK,2015,August,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,August,Number of Drug Overdose Deaths,124
AK,2015,August,Psychostimulants with abuse potential (T43.6),
AK,2015,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,August,Number of Deaths,"4,222"
AK,2015,August,"Opioids (T40.0-T40.4,T40.6)",
AK,2015,August,Methadone (T40.3),
AK,2015,August,Natural & semi-synthetic opioids (T40.2),
AK,2015,August,Heroin (T40.1),
AK,2015,August,Percent with drugs specified,87.90322581
AK,2015,August,Cocaine (T40.5),
AK,2015,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
AK,2015,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,December,Percent with drugs specified,89.25619835
AK,2015,December,Heroin (T40.1),
AK,2015,December,Methadone (T40.3),
AK,2015,December,Number of Drug Overdose Deaths,121
AK,2015,December,Natural & semi-synthetic opioids (T40.2),
AK,2015,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
AK,2015,December,"Opioids (T40.0-T40.4,T40.6)",
AK,2015,December,Number of Deaths,"4,193"
AK,2015,December,Cocaine (T40.5),
AK,2015,December,Psychostimulants with abuse potential (T43.6),
AK,2015,December,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,February,Percent with drugs specified,88.97637795
AK,2015,February,Cocaine (T40.5),
AK,2015,February,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,February,Heroin (T40.1),
AK,2015,February,Natural & semi-synthetic opioids (T40.2),
AK,2015,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
AK,2015,February,Psychostimulants with abuse potential (T43.6),
AK,2015,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,February,Number of Drug Overdose Deaths,127
AK,2015,February,"Opioids (T40.0-T40.4,T40.6)",
AK,2015,February,Methadone (T40.3),
AK,2015,February,Number of Deaths,"4,084"
AK,2015,January,Cocaine (T40.5),
AK,2015,January,Number of Deaths,"4,034"
AK,2015,January,Heroin (T40.1),
AK,2015,January,Natural & semi-synthetic opioids (T40.2),
AK,2015,January,Psychostimulants with abuse potential (T43.6),
AK,2015,January,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,January,Percent with drugs specified,89.68253968
AK,2015,January,Number of Drug Overdose Deaths,126
AK,2015,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
AK,2015,January,Methadone (T40.3),
AK,2015,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,January,"Opioids (T40.0-T40.4,T40.6)",
AK,2015,July,Methadone (T40.3),
AK,2015,July,Psychostimulants with abuse potential (T43.6),
AK,2015,July,Number of Deaths,"4,220"
AK,2015,July,Number of Drug Overdose Deaths,117
AK,2015,July,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,July,Natural & semi-synthetic opioids (T40.2),
AK,2015,July,Heroin (T40.1),
AK,2015,July,"Opioids (T40.0-T40.4,T40.6)",
AK,2015,July,Percent with drugs specified,87.17948718
AK,2015,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
AK,2015,July,Cocaine (T40.5),
AK,2015,June,"Synthetic opioids, excl. methadone (T40.4)",
AK,2015,June,Psychostimulants with abuse potential (T43.6),
AK,2015,June,Cocaine (T40.5),
AK,2015,June,Number of Drug Overdose Deaths,121
AK,2015,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
AK,2015,June,Number of Deaths,"4,201"
AK,2015,June,Methadone (T40.3),
AK,2015,June,"Opioids (T40.0-T40.4,T40.6)",
